WEBSITE_NM,WEBURL,CNT,STA_SDATE,STA_EDATE
網站名稱,網址,件數,統計起始日期,統計結束日期
0857娛樂城,www.0857.games,1,2023/12/12,2023/12/18
0x,www.0xdappplus.com,2,2023/04/25,2023/04/30
0x,www.0xplusdapp.com,3,2023/05/01,2023/05/07
0xBoost,www.0xboost.finance,1,2023/09/20,2023/09/26
0xBoost,www.0xboost.finance,1,2023/09/13,2023/09/19
0xboost,www.0xboost.app,1,2023/10/18,2023/10/24
100Ex,app.100exbtc.top,1,2024/07/11,2024/07/17
100Ex,app.100exbtc.top,1,2024/02/05,2024/02/15
100Ex,app.100exbtc.top,1,2024/01/08,2024/01/14
100Ex,app.100exbtc.top,1,2023/12/12,2023/12/18
100Ex,download.100exbtc.top,1,2023/12/19,2023/12/25
100Ex,download.100exbtc.top,1,2023/12/05,2023/12/11
100Ex,download.100exbtc.top,1,2023/09/20,2023/09/26
100Ex,www.100exbank.com,2,2023/05/01,2023/05/07
11STREET,tw11st.com,1,2023/07/25,2023/07/31
11Streetshop,11streetshope.com,1,2023/11/22,2023/11/27
11Streetshop,11streetth.com,1,2023/12/12,2023/12/18
11Streetshop,11streetthn.com,1,2024/02/05,2024/02/15
11Streetshop,11streetthu.com,1,2024/03/21,2024/03/27
11Streetshop,11streetthx.com,2,2024/01/15,2024/01/21
11Streetshop,11streetthy.com,1,2024/01/29,2024/02/04
11Streetshop,11streetthy.com,1,2024/01/22,2024/01/28
11Streetshop,www.ottoshopxsx.com,1,2024/08/22,2024/08/28
11st,11stglobal.com,3,2023/08/29,2023/09/05
11st,asia.11stc.com,1,2023/10/25,2023/10/31
11st,asia.11stk.shop,1,2024/02/16,2024/02/22
11st,asia.11sts.shop,1,2023/12/05,2023/12/11
11st,asia.11stw.com,1,2023/10/04,2023/10/10
11st,global-11st.com,6,2023/08/15,2023/08/21
11st,global-11st.com,2,2023/08/08,2023/08/14
11st,www.11stglobal.com,4,2023/11/08,2023/11/14
11st,www.11stglobal.com,1,2023/09/06,2023/09/12
165全民防騙網,hshkx.mom,1,2024/05/01,2024/05/07
167棋牌,www.1672211.com,2,2022/02/28,2022/03/06
168168,168168.ft989.net,1,2025/04/11,2025/04/17
1778,www.1778game.com,2,2024/05/29,2024/06/04
1778,www.1778game.com,1,2024/05/22,2024/05/28
17play娛樂城,17-play01.com,4,2022/06/06,2022/06/12
17play娛樂城,17play275.com,1,2023/10/11,2023/10/17
17play娛樂城,www.17-play55.com,3,2022/05/09,2022/05/15
17play娛樂城,www.17-play55.com,2,2022/05/02,2022/05/08
17play娛樂城,www.17-play88.com,5,2022/05/23,2022/05/29
17play娛樂城,www.17play00.com,2,2022/07/04,2022/07/10
17play娛樂城,www.17play135.com,4,2022/07/25,2022/07/31
17play娛樂城,www.17play275.com,3,2022/08/08,2022/08/14
17play娛樂城,www.17play275.com,3,2022/08/01,2022/08/07
17play娛樂城,www.17play98.com,2,2023/02/01,2023/02/07
17play娛樂城,www.17play98.com,2,2022/09/26,2022/10/02
17play娛樂城,www.17play98.com,4,2022/07/18,2022/07/24
17play娛樂城,www.17play98.com,6,2022/07/11,2022/07/17
17play娛樂城,www.onesevenplay.com,4,2022/09/05,2022/09/11
17play娛樂城,www.onesevenplay.com,4,2022/08/15,2022/08/21
17play娛樂城,www.onesevenplayy.com,2,2022/11/14,2022/11/20
17代工休閒娛樂,17joke.com,3,2022/11/14,2022/11/20
17代工休閒娛樂,17oemm.com,3,2022/09/12,2022/09/18
17代工休閒娛樂,www.17gamming.com,2,2022/11/01,2022/11/06
17代工休閒娛樂,www.17oemm.com,2,2022/12/19,2022/12/25
17購,www.17shopage.com,2,2022/04/04,2022/04/10
17購,www.17shopal.com,3,2022/03/14,2022/03/20
17購,www.17shopal.com,2,2022/03/07,2022/03/13
17購,www.17shoped.com,2,2022/03/21,2022/03/27
17購,www.17shoply.com,2,2022/04/18,2022/04/24
191Game,191game.88bcw.top,1,2024/11/26,2024/12/03
1COIN,www.onecin.vip,5,2022/12/26,2023/01/03
1COIN,www.onecopi.vip,5,2022/12/12,2022/12/18
1COIN,www.onecopx.vip,2,2023/02/15,2023/02/21
1COIN,www.onecss.vip,2,2023/03/22,2023/03/28
1COIN,www.onecss.vip,2,2022/12/05,2022/12/11
1COIN,www.onecss.vip,2,2022/11/07,2022/11/13
1COIN,www.onecss.vip,3,2022/10/24,2022/10/31
1inch,1llchdoge.icu,1,2025/02/01,2025/02/07
1inch,www.1inch.cyou,1,2024/08/29,2024/09/04
1inch,www.1inch5.cx,1,2024/10/01,2024/10/07
1inch,www.1inch666.cx,1,2024/09/05,2024/09/11
1inch,www.1lnchcbtc.bond,1,2024/12/25,2024/12/31
1inch,www.1wwha6.shop,1,2025/03/22,2025/03/28
1inch,www.inchavip.top,1,2025/01/15,2025/01/21
1inch,www.inchavip.top,1,2024/11/26,2024/12/03
1號店,1hdtwdown.com,2,2023/10/25,2023/10/31
1號會員店,1hdinstall.com,1,2024/02/05,2024/02/15
1號會員店,1hdmall.com,1,2024/01/29,2024/02/04
1號會員店,1hdshopmall.com,1,2024/03/21,2024/03/27
1號會員店,1hdstoretw.com,2,2023/12/05,2023/12/11
1號會員店,1hdtwinstall.com,1,2024/04/17,2024/04/23
1號會員店,1hdtwinstall.com,1,2024/03/28,2024/04/02
1號會員店,1yhdtw.com,1,2024/04/24,2024/04/30
1號會員店,ebyss.jwmvcuay.com/vvqqgku0,2,2024/01/22,2024/01/28
1號會員店,httpsmhappygo.com,4,2024/06/12,2024/06/18
1號會員店,httpsmhappygo.com,2,2024/05/08,2024/05/14
1號會員店,jdtwmall.com,1,2023/08/08,2023/08/14
1號會員店,my1hd.com,1,2023/09/13,2023/09/19
2024檢測報告系統,h5.3dtwe88.com,1,2024/04/17,2024/04/23
2024檢測報告系統,sever.wortenapp.com,2,2024/05/01,2024/05/07
2024檢測報告系統,stw90.yeskks.com,1,2024/05/08,2024/05/14
2024龍年眾神曆,aimhb.shop/ke3f879l2800,1,2023/11/28,2023/12/04
24SHOP,24shop.click,1,2024/10/08,2024/10/14
24SHOP,24shop.one,1,2024/09/19,2024/09/24
24SHOP,24svip.shop,1,2024/08/29,2024/09/04
2930寶物交易網,www.2930.tw,1,2024/04/10,2024/04/16
2OKEXTW,www.2okextw.com,4,2022/02/07,2022/02/13
2OKEXTW,www.2okextw.com,2,2022/01/10,2022/01/16
2OKEXTW,www.2okextw.com,5,2022/01/03,2022/01/09
2OKEXTW,www.2okextw.com,5,2021/12/27,2022/01/02
2OKEXTW,www.2okextw.net,2,2022/01/24,2022/02/06
2OKEXTW,www.2okextw.net,3,2022/01/17,2022/01/23
